iter	Passed	Remaining
0	66	66196
1	74	37404
2	85	28466
3	95	23715
4	101	20158
5	106	17686
6	118	16810
7	124	15466
8	131	14480
9	135	13403
10	139	12539
11	145	11995
12	149	11366
13	153	10820
14	160	10525
15	164	10106
16	168	9724
17	173	9464
18	181	9365
19	185	9104
20	191	8912
21	195	8673
22	199	8455
23	208	8459
24	213	8324
25	220	8278
26	226	8170
27	233	8097
28	240	8063
29	244	7918
30	251	7851
31	257	7784
32	261	7674
33	266	7584
34	273	7528
35	278	7460
36	283	7366
37	288	7312
38	296	7305
39	300	7210
40	308	7217
41	314	7163
42	319	7107
43	324	7049
44	328	6971
45	332	6894
46	338	6868
47	345	6845
48	349	6792
49	357	6786
50	361	6724
51	368	6713
52	372	6661
53	377	6606
54	381	6552
55	388	6542
56	392	6496
57	397	6451
58	401	6409
59	405	6360
60	410	6312
61	414	6273
62	420	6256
63	424	6213
64	430	6187
65	435	6168
66	439	6125
67	444	6091
68	449	6068
69	454	6035
70	461	6037
71	469	6052
72	474	6031
73	483	6049
74	489	6033
75	496	6041
76	505	6062
77	510	6034
78	518	6046
79	523	6022
80	530	6023
81	537	6014
82	541	5982
83	548	5985
84	555	5979
85	559	5947
86	566	5947
87	570	5917
88	580	5937
89	584	5911
90	591	5903
91	598	5906
92	602	5876
93	606	5849
94	613	5846
95	630	5937
96	640	5964
97	648	5970
98	658	5988
99	664	5979
100	670	5970
101	679	5984
102	686	5977
103	696	6002
104	702	5986
105	710	5989
106	716	5982
107	720	5953
108	731	5976
109	736	5958
110	744	5961
111	750	5952
112	759	5964
113	766	5959
114	771	5937
115	778	5936
116	783	5912
117	793	5929
118	797	5901
119	804	5899
120	809	5880
121	817	5881
122	828	5910
123	833	5888
124	840	5884
125	844	5860
126	848	5834
127	855	5826
128	859	5805
129	865	5793
130	872	5788
131	876	5765
132	881	5746
133	888	5741
134	892	5720
135	897	5700
136	904	5694
137	910	5685
138	916	5676
139	927	5695
140	935	5699
141	942	5696
142	950	5697
143	955	5677
144	963	5682
145	969	5670
146	975	5660
147	982	5656
148	986	5635
149	990	5613
150	998	5612
151	1002	5594
152	1010	5593
153	1016	5581
154	1020	5564
155	1026	5554
156	1034	5553
157	1039	5539
158	1052	5568
159	1057	5549
160	1062	5538
161	1067	5522
162	1073	5512
163	1080	5509
164	1086	5499
165	1093	5496
166	1099	5483
167	1105	5473
168	1109	5457
169	1114	5441
170	1121	5438
171	1127	5428
172	1133	5419
173	1143	5426
174	1148	5412
175	1156	5415
176	1164	5413
177	1171	5408
178	1178	5406
179	1188	5414
180	1193	5399
181	1198	5385
182	1205	5381
183	1210	5368
184	1215	5352
185	1223	5356
186	1236	5374
187	1243	5370
188	1252	5374
189	1257	5360
190	1262	5346
191	1273	5360
192	1277	5343
193	1288	5351
194	1293	5339
195	1303	5348
196	1313	5355
197	1321	5354
198	1326	5338
199	1331	5325
200	1339	5323
201	1348	5325
202	1358	5334
203	1364	5322
204	1371	5317
205	1376	5305
206	1383	5299
207	1392	5300
208	1398	5293
209	1405	5288
210	1410	5274
211	1421	5282
212	1428	5279
213	1441	5295
214	1449	5290
215	1457	5288
216	1464	5283
217	1479	5307
218	1488	5309
219	1498	5313
220	1504	5303
221	1520	5327
222	1535	5348
223	1542	5342
224	1552	5346
225	1559	5341
226	1572	5355
227	1588	5377
228	1595	5373
229	1608	5384
230	1619	5390
231	1625	5381
232	1632	5374
233	1637	5359
234	1644	5354
235	1654	5356
236	1659	5343
237	1665	5333
238	1670	5320
239	1678	5316
240	1690	5324
241	1697	5316
242	1703	5307
243	1713	5307
244	1720	5301
245	1729	5301
246	1736	5293
247	1744	5289
248	1749	5276
249	1758	5274
250	1765	5268
251	1773	5263
252	1778	5250
253	1781	5233
254	1786	5219
255	1793	5211
256	1797	5196
257	1802	5184
258	1808	5175
259	1813	5160
260	1820	5155
261	1828	5150
262	1835	5143
263	1841	5133
264	1845	5119
265	1853	5113
266	1857	5099
267	1861	5085
268	1867	5073
269	1871	5059
270	1875	5045
271	1879	5030
272	1885	5021
273	1889	5006
274	1894	4993
275	1901	4989
276	1908	4981
277	1915	4974
278	1919	4961
279	1924	4948
280	1933	4946
281	1940	4940
282	1944	4926
283	1949	4915
284	1953	4901
285	1957	4887
286	1964	4881
287	1969	4868
288	1973	4855
289	1979	4845
290	1983	4833
291	1989	4824
292	1995	4813
293	1999	4801
294	2003	4789
295	2008	4776
296	2013	4766
297	2018	4754
298	2022	4741
299	2027	4731
300	2031	4718
301	2035	4705
302	2039	4692
303	2045	4683
304	2050	4673
305	2054	4660
306	2061	4653
307	2065	4639
308	2069	4627
309	2074	4618
310	2078	4604
311	2082	4593
312	2090	4588
313	2098	4584
314	2106	4581
315	2112	4571
316	2119	4567
317	2126	4559
318	2129	4546
319	2133	4534
320	2142	4531
321	2146	4519
322	2151	4508
323	2157	4500
324	2160	4487
325	2164	4475
326	2169	4464
327	2175	4456
328	2178	4443
329	2185	4436
330	2190	4426
331	2194	4415
332	2199	4405
333	2205	4397
334	2209	4386
335	2215	4379
336	2220	4369
337	2225	4359
338	2232	4352
339	2236	4342
340	2242	4333
341	2249	4328
342	2256	4322
343	2260	4311
344	2264	4299
345	2270	4290
346	2275	4281
347	2278	4269
348	2286	4265
349	2293	4259
350	2302	4256
351	2308	4249
352	2312	4238
353	2316	4227
354	2322	4220
355	2326	4209
356	2330	4197
357	2336	4190
358	2341	4180
359	2345	4169
360	2351	4162
361	2356	4152
362	2359	4141
363	2367	4136
364	2372	4127
365	2376	4116
366	2381	4107
367	2386	4098
368	2391	4088
369	2395	4078
370	2401	4072
371	2405	4061
372	2411	4054
373	2420	4051
374	2427	4045
375	2435	4042
376	2441	4034
377	2448	4029
378	2455	4024
379	2461	4015
380	2468	4010
381	2473	4001
382	2480	3996
383	2484	3985
384	2488	3975
385	2492	3964
386	2497	3956
387	2505	3951
388	2512	3945
389	2517	3937
390	2524	3931
391	2531	3925
392	2536	3918
393	2541	3909
394	2550	3905
395	2554	3896
396	2558	3886
397	2564	3878
398	2570	3871
399	2580	3870
400	2586	3864
401	2599	3867
402	2604	3857
403	2609	3849
404	2614	3840
405	2618	3830
406	2625	3825
407	2630	3817
408	2635	3808
409	2640	3800
410	2650	3797
411	2654	3788
412	2662	3784
413	2667	3775
414	2671	3765
415	2676	3757
416	2681	3748
417	2684	3738
418	2690	3730
419	2696	3724
420	2701	3714
421	2707	3707
422	2711	3698
423	2715	3689
424	2719	3679
425	2726	3673
426	2730	3663
427	2733	3653
428	2738	3645
429	2742	3635
430	2747	3626
431	2751	3617
432	2757	3610
433	2760	3600
434	2764	3590
435	2768	3581
436	2776	3576
437	2780	3567
438	2785	3559
439	2790	3551
440	2795	3543
441	2799	3534
442	2806	3528
443	2810	3519
444	2814	3509
445	2818	3500
446	2823	3493
447	2828	3485
448	2833	3477
449	2840	3471
450	2844	3462
451	2848	3453
452	2852	3444
453	2856	3435
454	2864	3431
455	2869	3423
456	2874	3415
457	2878	3406
458	2882	3397
459	2887	3389
460	2892	3382
461	2896	3373
462	2901	3365
463	2907	3358
464	2912	3350
465	2916	3341
466	2922	3335
467	2927	3327
468	2935	3323
469	2939	3314
470	2943	3306
471	2947	3297
472	2953	3290
473	2957	3281
474	2961	3273
475	2965	3264
476	2973	3260
477	2977	3251
478	2981	3242
479	2988	3237
480	2992	3228
481	2995	3219
482	3006	3217
483	3014	3213
484	3023	3210
485	3032	3207
486	3038	3201
487	3044	3193
488	3050	3187
489	3055	3179
490	3067	3180
491	3075	3175
492	3084	3171
493	3089	3164
494	3095	3157
495	3100	3150
496	3106	3143
497	3110	3135
498	3116	3129
499	3121	3121
500	3133	3121
501	3139	3114
502	3149	3112
503	3154	3103
504	3159	3096
505	3169	3094
506	3173	3086
507	3185	3085
508	3189	3077
509	3200	3075
510	3209	3071
511	3216	3066
512	3225	3061
513	3235	3058
514	3238	3050
515	3243	3042
516	3248	3034
517	3252	3026
518	3256	3018
519	3262	3011
520	3266	3002
521	3270	2995
522	3276	2988
523	3283	2983
524	3292	2979
525	3297	2971
526	3307	2968
527	3316	2965
528	3328	2963
529	3336	2958
530	3347	2956
531	3351	2948
532	3361	2944
533	3365	2937
534	3369	2928
535	3375	2922
536	3384	2917
537	3387	2909
538	3395	2904
539	3404	2900
540	3416	2898
541	3423	2893
542	3430	2886
543	3436	2880
544	3441	2872
545	3449	2868
546	3460	2865
547	3466	2859
548	3473	2853
549	3480	2847
550	3485	2840
551	3492	2834
552	3497	2826
553	3501	2818
554	3508	2813
555	3513	2805
556	3517	2797
557	3524	2791
558	3529	2784
559	3537	2779
560	3542	2771
561	3552	2768
562	3561	2764
563	3571	2761
564	3576	2753
565	3581	2745
566	3588	2740
567	3594	2734
568	3606	2732
569	3610	2724
570	3616	2717
571	3625	2712
572	3633	2707
573	3642	2703
574	3649	2697
575	3658	2692
576	3666	2688
577	3675	2683
578	3681	2676
579	3687	2670
580	3692	2663
581	3700	2657
582	3707	2651
583	3712	2644
584	3720	2639
585	3733	2637
586	3745	2635
587	3755	2631
588	3761	2624
589	3774	2622
590	3784	2619
591	3796	2616
592	3805	2611
593	3813	2606
594	3821	2601
595	3831	2597
596	3837	2590
597	3841	2582
598	3849	2576
599	3855	2570
600	3866	2567
601	3874	2561
602	3884	2557
603	3893	2552
604	3905	2549
605	3910	2542
606	3915	2535
607	3924	2530
608	3933	2525
609	3939	2518
610	3948	2513
611	3955	2507
612	3964	2502
613	3968	2494
614	3977	2489
615	3982	2482
616	3987	2475
617	3997	2470
618	4002	2463
619	4013	2459
620	4019	2453
621	4026	2447
622	4032	2440
623	4038	2433
624	4047	2428
625	4053	2421
626	4058	2414
627	4064	2407
628	4070	2400
629	4076	2393
630	4080	2386
631	4091	2382
632	4096	2375
633	4100	2367
634	4105	2360
635	4112	2353
636	4118	2346
637	4122	2339
638	4128	2332
639	4146	2332
640	4159	2329
641	4169	2325
642	4179	2320
643	4184	2312
644	4189	2305
645	4193	2297
646	4197	2290
647	4201	2282
648	4208	2276
649	4212	2268
650	4217	2260
651	4224	2254
652	4228	2246
653	4232	2239
654	4236	2231
655	4241	2224
656	4245	2216
657	4249	2208
658	4255	2202
659	4260	2194
660	4264	2187
661	4268	2179
662	4274	2172
663	4279	2165
664	4288	2160
665	4293	2153
666	4300	2147
667	4306	2140
668	4310	2132
669	4314	2125
670	4320	2118
671	4328	2112
672	4332	2105
673	4338	2098
674	4343	2091
675	4347	2083
676	4355	2078
677	4359	2070
678	4363	2062
679	4372	2057
680	4378	2050
681	4382	2043
682	4391	2038
683	4396	2031
684	4409	2027
685	4418	2022
686	4432	2019
687	4437	2012
688	4443	2005
689	4450	1999
690	4453	1991
691	4459	1984
692	4464	1977
693	4468	1970
694	4473	1962
695	4478	1955
696	4483	1949
697	4488	1941
698	4493	1935
699	4501	1929
700	4505	1921
701	4508	1914
702	4517	1908
703	4522	1901
704	4536	1898
705	4549	1894
706	4555	1887
707	4560	1880
708	4567	1874
709	4571	1867
710	4574	1859
711	4578	1852
712	4583	1844
713	4587	1837
714	4591	1830
715	4598	1823
716	4602	1816
717	4607	1809
718	4617	1804
719	4624	1798
720	4631	1792
721	4637	1785
722	4645	1779
723	4653	1774
724	4658	1767
725	4665	1760
726	4672	1754
727	4679	1748
728	4687	1742
729	4692	1735
730	4699	1729
731	4704	1722
732	4708	1715
733	4715	1709
734	4721	1702
735	4726	1695
736	4733	1689
737	4737	1681
738	4746	1676
739	4757	1671
740	4765	1665
741	4771	1658
742	4777	1652
743	4781	1645
744	4785	1638
745	4790	1631
746	4799	1625
747	4809	1620
748	4815	1613
749	4819	1606
750	4826	1600
751	4830	1593
752	4835	1586
753	4840	1579
754	4848	1573
755	4852	1566
756	4858	1559
757	4863	1552
758	4867	1545
759	4874	1539
760	4880	1532
761	4885	1525
762	4893	1519
763	4899	1513
764	4904	1506
765	4908	1499
766	4914	1493
767	4922	1486
768	4927	1480
769	4931	1472
770	4935	1465
771	4940	1459
772	4947	1452
773	4950	1445
774	4956	1438
775	4960	1431
776	4966	1425
777	4974	1419
778	4979	1412
779	4982	1405
780	4991	1399
781	4995	1392
782	4999	1385
783	5006	1379
784	5010	1372
785	5015	1365
786	5021	1359
787	5028	1352
788	5035	1346
789	5042	1340
790	5052	1334
791	5056	1327
792	5060	1321
793	5067	1314
794	5071	1307
795	5075	1300
796	5089	1296
797	5100	1291
798	5104	1284
799	5113	1278
800	5119	1271
801	5124	1265
802	5129	1258
803	5138	1252
804	5143	1245
805	5147	1239
806	5153	1232
807	5159	1226
808	5163	1219
809	5169	1212
810	5177	1206
811	5184	1200
812	5188	1193
813	5193	1186
814	5200	1180
815	5204	1173
816	5208	1166
817	5214	1160
818	5220	1153
819	5226	1147
820	5235	1141
821	5240	1134
822	5247	1128
823	5254	1122
824	5258	1115
825	5263	1108
826	5267	1101
827	5273	1095
828	5281	1089
829	5288	1083
830	5296	1077
831	5303	1070
832	5314	1065
833	5321	1059
834	5328	1052
835	5335	1046
836	5342	1040
837	5351	1034
838	5364	1029
839	5374	1023
840	5391	1019
841	5398	1012
842	5409	1007
843	5418	1001
844	5426	995
845	5437	989
846	5447	983
847	5456	978
848	5464	971
849	5476	966
850	5484	960
851	5503	956
852	5512	950
853	5530	945
854	5553	941
855	5562	935
856	5573	929
857	5585	924
858	5599	919
859	5619	914
860	5636	909
861	5650	904
862	5657	898
863	5666	891
864	5675	885
865	5687	879
866	5702	874
867	5718	869
868	5730	863
869	5736	857
870	5743	850
871	5756	845
872	5771	839
873	5782	833
874	5788	826
875	5797	820
876	5814	815
877	5821	808
878	5831	802
879	5839	796
880	5848	789
881	5854	783
882	5868	777
883	5879	771
884	5885	764
885	5892	758
886	5899	751
887	5903	744
888	5913	738
889	5920	731
890	5925	724
891	5935	718
892	5943	712
893	5950	705
894	5955	698
895	5961	692
896	5972	685
897	5984	679
898	5993	673
899	5999	666
900	6010	660
901	6015	653
902	6020	646
903	6027	640
904	6032	633
905	6040	626
906	6049	620
907	6057	613
908	6069	607
909	6080	601
910	6099	595
911	6105	589
912	6113	582
913	6126	576
914	6136	570
915	6148	563
916	6164	557
917	6176	551
918	6193	545
919	6210	540
920	6230	534
921	6241	528
922	6255	521
923	6279	516
924	6289	509
925	6295	503
926	6304	496
927	6318	490
928	6353	485
929	6364	479
930	6385	473
931	6394	466
932	6411	460
933	6427	454
934	6441	447
935	6469	442
936	6483	435
937	6505	429
938	6511	423
939	6531	416
940	6540	410
941	6552	403
942	6558	396
943	6572	389
944	6579	382
945	6603	376
946	6620	370
947	6634	363
948	6640	356
949	6650	350
950	6657	343
951	6665	336
952	6671	329
953	6682	322
954	6693	315
955	6702	308
956	6708	301
957	6717	294
958	6722	287
959	6728	280
960	6733	273
961	6741	266
962	6748	259
963	6756	252
964	6763	245
965	6771	238
966	6779	231
967	6790	224
968	6799	217
969	6806	210
